Country,iOS_Percentage,Android_Percentage,iosMarketShare,androidMarketShare
India,3.98,95.17,3.92,95.26
China,24.22,75.24,24.32,74.98
United States,58.1,41.46,56.74,42.94
Indonesia,11.58,88.29,9.43,90.47
Pakistan,5.62,92.89,5.9,93.32
Nigeria,12.05,82.94,10.94,84.34
Brazil,18.24,81.48,14.45,85.33
Bangladesh,4.04,95.57,3.7,95.74
Russia,30.63,69.05,26.16,73.49
Ethiopia,4.36,92.23,5.33,91.73
Mexico,22.27,77.42,19.93,79.78
Japan,68.75,31.1,65.88,33.98
Egypt,9.7,90.05,13.81,85.97
Philippines,12.2,87.29,10.43,88.95
DR Congo,9.2,75.58,9.53,75.33
Vietnam,33.9,65.74,28.96,70.62
Iran,7.48,92.35,6.82,92.93
Turkey,19.19,80.3,15.74,83.96
Germany,38.95,60.07,37.67,59.79
Thailand,33.26,66.27,27.47,72.19
United Kingdom,52.28,47.16,51.63,47.8
Tanzania,7.29,81.01,7.75,78.46
France,35.38,64.04,35.49,63.94
South Africa,17.67,81.99,16.5,83.11
Italy,31.47,68.07,29.31,70.22
Kenya,3.21,88.92,3.43,90.67
Myanmar,12.9,86.78,11.6,88.07
Colombia,17.74,81.89,11.24,88.4
South Korea,30.38,69.33,29.79,69.83
Sudan,8.38,85.32,6.9,88.61
Uganda,6.21,80,6.53,78.26
Spain,22.74,76.82,21.4,78.09
Algeria,8.94,90.89,5.81,93.98
Iraq,24.46,73.32,23.31,76.49
Argentina,9.31,90.45,7.97,91.82
Afghanistan,18.91,80.91,19.89,79.74
Yemen,3.99,93.1,2.17,95.61
Canada,60.47,38.91,57.84,41.53
Poland,16.3,83.59,10.57,89.2
Morocco,15.85,83.66,21.97,77.32
Angola,16.26,82.91,16.13,83.05
Ukraine,30.09,69.58,18.42,81.26
Uzbekistan,12.76,87.06,9.83,89.92
Malaysia,31.36,66.99,27.04,71.44
Mozambique,9.52,86.56,9.95,86.86
Ghana,22.37,76.22,22.93,75.61
Peru,9.55,89.62,8.14,91.36
Saudi Arabia,38.85,61.06,46.01,53.87
Madagascar,7.15,88.06,4.36,93.23
Ivory Coast,26.95,71.67,25.18,73.6
Nepal,12.61,87.33,8.43,91.5
Cameroon,15.05,80.27,13.38,84.12
Venezuela,6.63,93.12,5.85,93.83
Niger,8.05,91.02,8.8,90.35
Australia,39.27,59.73,57.47,41.15
North Korea,82.33,17.67,99.49,0.51
Syria,7.26,92.42,3.66,95.87
Mali,17.71,81.3,19.27,80.03
Burkina Faso,7.36,89.26,7.25,90.66
Taiwan,56.58,41.15,51.32,46.9
Sri Lanka,12.99,86.79,11.41,88.37
Malawi,3.99,93.3,3.7,93.17
Zambia,9.9,87.09,8.98,87.38
Kazakhstan,31.31,68.46,25.76,74.04
Chad,7.05,92.68,9.34,90.23
Chile,21.12,78.43,16.76,82.9
Romania,24.7,74.86,22.15,77.52
Somalia,14.8,84.84,12.87,86.78
Senegal,27.35,72.29,25.19,74.43
Guatemala,20.12,79.61,15.92,83.84
Netherlands,42.69,56.66,40.31,59.02
Ecuador,18.03,81.52,13.35,86.22
Cambodia,42.62,57.06,43.9,55.7
